variables,units,values,description
floatingse.member0.layer_thickness,m,[[0.07129061 0.06378357 0.0443225  0.0443225 ]],
floatingse.member0.outer_diameter_in,m,[10.42629276 10.41871663  9.8651169   9.29031289],
floatingse.E_mat,Pa,"[[3.440e+09 3.440e+09 3.440e+09]
 [2.000e+11 2.000e+11 2.000e+11]
 [2.050e+11 2.050e+11 2.050e+11]
 [1.180e+11 1.180e+11 1.180e+11]
 [4.460e+10 1.700e+10 1.670e+10]
 [1.145e+11 8.390e+09 8.390e+09]
 [1.110e+10 1.110e+10 1.670e+10]
 [2.870e+10 1.660e+10 1.670e+10]
 [1.292e+08 1.292e+08 1.292e+08]
 [1.000e+06 1.000e+06 1.000e+06]
 [1.000e+00 1.000e+00 1.000e+00]]",
floatingse.G_mat,Pa,"[[1.32300000e+09 1.32300000e+09 1.32300000e+09]
 [7.93000000e+10 7.93000000e+10 7.93000000e+10]
 [8.00000000e+10 8.00000000e+10 8.00000000e+10]
 [4.76000000e+10 4.76000000e+10 4.76000000e+10]
 [3.27000000e+09 3.48000000e+09 3.50000000e+09]
 [5.99000000e+09 5.99000000e+09 5.99000000e+09]
 [1.35300000e+10 3.49000000e+09 3.49000000e+09]
 [8.40000000e+09 3.49000000e+09 3.49000000e+09]
 [4.89469697e+07 4.89469697e+07 4.89469697e+07]
 [3.12500000e+05 3.12500000e+05 3.12500000e+05]
 [1.00000000e+00 1.00000000e+00 1.00000000e+00]]",
floatingse.sigma_y_mat,Pa,"[0.00e+00 3.45e+08 4.85e+08 2.65e+08 0.00e+00 0.00e+00 0.00e+00 0.00e+00
 0.00e+00 0.00e+00 0.00e+00]",
floatingse.rho_mat,kg/m**3,[1235. 7800. 7850. 7200. 1940. 1220. 1940. 1940.  130. 1150. 5000.],
floatingse.unit_cost_mat,USD/kg,[ 7.23  0.7   0.9   0.5   1.87 30.    3.    2.86 13.    3.63  1.  ],
floatingse.member0.outfitting_factor_in,,[1.],
floatingse.rho_water,kg/m**3,[1025.],
floatingse.member0.layer_materials,Unavailable,['steel'],
floatingse.member0.ballast_materials,Unavailable,[],
floatingse.material_names,Unavailable,"['Gelcoat', 'steel', 'steel_drive', 'cast_iron', 'glass_uni', 'CarbonUD', 'glass_biax', 'glass_triax', 'medium_density_foam', 'resin', 'slurry']",
floatingse.member0.gc.d,m,[10.42629276 10.41871663  9.8651169   9.29031289],
floatingse.member0.gc.t,m,[0.06753709 0.05405304 0.0443225 ],
floatingse.member0.height,m,[35.],
floatingse.member0.outer_diameter,m,[10.42629276 10.41871663  9.8651169   9.29031289],
floatingse.member0.wall_thickness,m,[0.06753709 0.05405304 0.0443225 ],
floatingse.member0.E,Pa,[2.e+11 2.e+11 2.e+11],
floatingse.member0.G,Pa,[7.93e+10 7.93e+10 7.93e+10],
floatingse.member0.sigma_y,Pa,[3.45e+08 3.45e+08 3.45e+08],
floatingse.member0.rho,kg/m**3,[7800. 7800. 7800.],
floatingse.member0.unit_cost,USD/kg,[0.7 0.7 0.7],
floatingse.member0.outfitting_factor,,[1. 1. 1.],
floatingse.member0.s_full,m,[0.    0.1   0.987 1.   ],
floatingse.member0.z_full,m,[ 0.     3.5   34.545 35.   ],
floatingse.member0.d_full,m,[10.42629276 10.41871663  9.8651169   9.29031289],
floatingse.member0.t_full,m,[0.06753709 0.05405304 0.0443225 ],
floatingse.member0.E_full,Pa,[2.e+11 2.e+11 2.e+11],
floatingse.member0.G_full,Pa,[7.93e+10 7.93e+10 7.93e+10],
floatingse.member0.rho_full,kg/m**3,[7800. 7800. 7800.],
floatingse.member0.sigma_y_full,Pa,[3.45e+08 3.45e+08 3.45e+08],
floatingse.member0.unit_cost_full,USD/kg,[0.7 0.7 0.7],
floatingse.member0.outfitting_full,,[1. 1. 1.],
floatingse.labor_cost_rate,USD/min,[0.98],
floatingse.painting_cost_rate,USD/m**2,[30.],
floatingse.member0.grid_axial_joints,,[0.987 0.1  ],
floatingse.member0.bulkhead_grid,,[0. 1.],
floatingse.member0.bulkhead_thickness,m,[0.05 0.05],
floatingse.member0.ring_stiffener_web_height,m,[0.],
floatingse.member0.ring_stiffener_web_thickness,m,[0.],
floatingse.member0.ring_stiffener_flange_width,m,[0.],
floatingse.member0.ring_stiffener_flange_thickness,m,[0.],
floatingse.member0.ring_stiffener_spacing,m,[0.],
floatingse.member0.axial_stiffener_web_height,m,[0.],
floatingse.member0.axial_stiffener_web_thickness,m,[0.],
floatingse.member0.axial_stiffener_flange_width,m,[0.],
floatingse.member0.axial_stiffener_flange_thickness,m,[0.],
floatingse.member0.axial_stiffener_spacing,rad,[0.],
floatingse.member0.ballast_grid,,[],
floatingse.member0.ballast_density,kg/m**3,[],
floatingse.member0.ballast_volume,m**3,[],
floatingse.member0.ballast_unit_cost,USD/kg,[],
floatingse.member0.s_ghost1,,[0.],
floatingse.member0.s_ghost2,,[1.],
